id,name,about
C_654504,Kiểm tra định kỳ 1-zm,"Khóa học này là khóa học giới thiệu về thiết kế giao diện. Nó dành cho người mới bắt đầu. Nó giúp sinh viên thiết lập khung kiến ​​thức tương đối đầy đủ và làm phong phú thêm tầm nhìn của mình bằng cách giới thiệu một cách toàn diện về hiện trạng phát triển, lĩnh vực ứng dụng và xu hướng trong lĩnh vực thiết kế giao diện. Bắt đầu từ hai điểm kiến ​​thức về phương pháp sản xuất và thiết kế web GUI và H5, nó hướng dẫn sinh viên từng bước học thiết kế GUI web đơn giản và trải nghiệm quy trình thiết kế hoàn chỉnh. Thông qua trải nghiệm học tập thực tế này, sinh viên có thể có những hiểu biết và hiểu biết sơ bộ về thiết kế giao diện, mở đường cho việc nghiên cứu chuyên sâu và tự hoàn thiện trong tương lai."
C_654505,Kiểm tra định kỳ 2-zm,Khóa học này là một khóa học giới thiệu cho thiết kế giao diện. Nó là cho người mới bắt đầu. Bằng cách giới thiệu toàn diện trạng thái phát triển và các trường ứng dụng của thiết kế giao diện
C_654506,Một loạt các lớp học-đã kết thúc và có một thời gian xem xét,"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_654551,Kiểm tra định kỳ 4-zm,"Khóa học này là khóa học giới thiệu về thiết kế giao diện. Nó dành cho người mới bắt đầu. Nó giúp sinh viên thiết lập khung kiến ​​thức tương đối đầy đủ và làm phong phú thêm tầm nhìn của mình bằng cách giới thiệu một cách toàn diện về hiện trạng phát triển, lĩnh vực ứng dụng và xu hướng trong lĩnh vực thiết kế giao diện. Bắt đầu từ hai điểm kiến ​​thức về phương pháp sản xuất và thiết kế web GUI và H5, nó hướng dẫn sinh viên từng bước học thiết kế GUI web đơn giản và trải nghiệm quy trình thiết kế hoàn chỉnh. Thông qua trải nghiệm học tập thực tế này, sinh viên có thể có những hiểu biết và hiểu biết sơ bộ về thiết kế giao diện, mở đường cho việc nghiên cứu chuyên sâu và tự hoàn thiện trong tương lai."
C_654554,Loạt các lớp học,"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_655850,Chuỗi lớp học - lớp học chưa bắt đầu,"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng có, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_655852,Một loạt các khóa học-khóa học đã được hoàn thành mà không có thời gian xem xét,Hiện tại
C_670597,Zizhi Tongjian,La la
C_674903,Nghệ thuật bất tử: Bước vào bậc thầy và kinh điển,"Khóa học chất lượng quốc gia lấy lịch sử làm kinh độ, so sánh giữa Trung Quốc và nước ngoài làm sợi ngang, đồng thời lấy diễn giải văn hóa làm hướng dẫn hàng đầu để hướng dẫn học sinh đánh giá và hiểu các đặc điểm thẩm mỹ cũng như ý nghĩa tinh thần văn hóa của các nghệ sĩ vĩ đại nhất trong sự phát triển của lịch sử nghệ thuật Trung Quốc và phương Tây cũng như những kiệt tác nghệ thuật bất tử của họ."
C_674910,Tính thẩm mỹ và sáng tạo hoa văn,"Giáo trình giáo khoa chất lượng cao cấp quốc gia cung cấp quá trình trải nghiệm vẻ đẹp của hoa văn, trau chuốt vẻ đẹp và thể hiện vẻ đẹp. Các mô hình học tập có thể giúp bạn hiểu được lịch sử và cảm nhận được nhịp đập của thời đại. Bạn sẽ được mở rộng tư duy sáng tạo nghệ thuật và các phương pháp tạo mẫu phù hợp với mình."
C_674912,Âm nhạc và sức khỏe,"Khóa học này được thiết kế cẩn thận với nội dung về 8 chủ đề bao gồm âm nhạc và trị liệu sức khỏe, danh sách kê đơn âm nhạc, v.v. Phù hợp cho những người yêu thích âm nhạc và quan tâm đến sức khỏe thể chất và tinh thần."
C_674914,Kế toán quản trị,Môn học này bám sát xu hướng phát triển của nền kinh tế mới và chủ yếu mô tả các lý thuyết cơ bản và phương pháp ứng dụng thực tiễn của kế toán quản trị. Nó nhằm mục đích xây dựng một hệ thống khung cơ bản về kế toán quản trị cho sinh viên.
C_674917,Lý thuyết và thực hành đầu tư chứng khoán,"Khóa học này chủ yếu dạy những kiến ​​thức, lý thuyết cơ bản về chứng khoán và thị trường chứng khoán; cơ cấu tổ chức của thị trường chứng khoán; các công cụ thị trường vốn cơ bản như cổ phiếu, trái phiếu, quỹ đầu tư chứng khoán và các phương thức đầu tư phái sinh như hợp đồng tương lai tài chính và quyền chọn tài chính; phân tích chính xác sự phát triển của ngành kinh tế vĩ mô và hoạt động của công ty để đưa ra quyết định đầu tư đúng đắn"
C_674920,Giới thiệu về logic,Logic là gì? Mọi người đều quen thuộc với nó nhưng dường như rất khó để giải thích rõ ràng khóa học này sẽ cho bạn biết: như một chủ đề
C_674921,Nguyên tắc quản lý,"Khóa học này sẽ đưa bạn vào thế giới quản lý: bạn có thể hiểu sâu hơn về tổ chức của mình và công việc của tổ chức đó, bạn có thể học cách tự quản lý và tự tạo động lực cho bản thân; bạn cũng có thể khám phá các vấn đề về quản lý và áp dụng các phương pháp hiệu quả để giải quyết chúng; tất nhiên, bạn vẫn có thể thu được nhiều kiến ​​thức quản lý quý giá từ khóa học này"
C_674923,Cải thiện khả năng chuyên môn hành chính,Khóa học để cải thiện khả năng chuyên môn hành chính là một khóa học để nuôi dưỡng và đào tạo khả năng chuyên môn hành chính cho sinh viên và nhân viên làm việc. Thông qua học tập
C_674924,Thực hành đổi mới và khởi nghiệp trong thời đại thông minh,Làm thế nào chúng ta có thể không bị loại trong kỷ nguyên thông minh? Làm thế nào để đứng trên đỉnh của sóng? Khóa học sẽ tiết lộ bí ẩn của công nghệ thông minh và cung cấp cho bạn chìa khóa để mở kỷ nguyên thông minh. Đồng thời
C_674926,Khám phá những bí ẩn của tâm lý tiềm thức,Từ quan điểm của công nghệ can thiệp tâm lý siêu nhận thức
C_674930,18 khả năng cần thiết tại nơi làm việc,"Khóa học này sẽ cho bạn thấy cái nhìn đa góc độ và toàn diện về nơi làm việc ngày nay. Thông qua các bài giảng của giáo viên Lin và các cuộc phỏng vấn với các chuyên gia tại nơi làm việc, các chuyên gia ở các vị trí và cấp độ khác nhau trong ngành sẽ cho bạn biết những khả năng mà giới tinh hoa ở nơi làm việc cần phải sở hữu."
C_674931,Lý thuyết và công nghệ hệ thống nhúng,Các hệ thống nhúng là các hệ thống máy tính đặc biệt phù hợp với phần mềm và phần cứng theo ứng dụng cần đáp ứng các yêu cầu tùy chỉnh; Chúng là sản phẩm của công nghệ máy tính tiên tiến. Công nghệ bán dẫn và công nghệ điện tử và các ứng dụng cụ thể của các ngành công nghiệp khác nhau. Với sự phát triển của công nghệ bán dẫn
C_674937,Văn hóa truyền thống Trung Quốc và tu luyện đời sống,"Khóa học này sẽ dẫn bạn vào thế giới văn hóa truyền thống Trung Quốc, bắt đầu từ thời tiền Tần, trải qua các triều đại nhà Ngụy, Tấn, Nam và Bắc, đánh giá cao nền văn hóa tuyệt vời của các triều đại Đường, Tống, Nguyên, Minh và Thanh, tìm hiểu tinh thần Nho giáo, Phật giáo và Đạo giáo, đồng thời bước vào thế giới tâm linh của người xưa."
C_674938,Tự nhận thức và quản lý cảm xúc,No Text
C_674942,Xin chào, Tâm lý học
C_674948,Quản lý chiến lược doanh nghiệp,Quản lý chiến lược của công ty tập trung vào việc giới thiệu các lý thuyết về xây dựng
C_674950,Địa lý kinh tế và kinh doanh tăng và giảm,Địa lý kinh tế là môn địa lý nói về cuộc đấu tranh sinh tồn của con người. Đây là một nhánh quan trọng của địa lý hiện đại. Nó chủ yếu khám phá mối quan hệ năng động phức tạp giữa hoạt động kinh tế của doanh nghiệp với địa lý và môi trường.
C_674953,Tiếng Anh nâng cao,Giờ học sinh: Khóa học 90 giờ: Sinh viên trường y và nhân viên y khoa Khóa học này chủ yếu nuôi dưỡng khả năng ứng dụng toàn diện của sinh viên y khoa và nhân viên y khoa bằng tiếng Anh y khoa tiên tiến
C_674955,Phản ứng căng thẳng sau đại học và tâm lý lành mạnh,Đây là một khóa học tập trung vào việc phổ biến kiến ​​thức cơ bản về sức khỏe tâm thần và cải thiện nhận thức về sức khỏe thể chất và tinh thần của học sinh
C_674959,Sự mặc khải khôn ngoan của Tao te Ching,Khóa học này sử dụng các nguyên tắc của Sách thay đổi để giải thích 101 loại trí tuệ cuộc sống có trong Tao te Ching từ lý thuyết về lịch sử và thực tế và thực hành. Học bài học này. Nếu bạn có Tao
C_674962,Nghệ thuật không gian của giấc mơ của Mansions đỏ,Lật biệt biệt thự màu đỏ để nhìn thế giới
C_674966,Phân tích của lớp học cuộc sống Khổng Tử,Khổng Tử Luận là một tuyển tập văn xuôi theo phong cách trích dẫn vào thời Xuân Thu của Trung Quốc. Nó chủ yếu ghi lại lời nói và việc làm của Khổng Tử và các đệ tử của ông. Nó được biên soạn bởi các đệ tử của Khổng Tử và các đệ tử của ông đã truyền lại nó. Nó phản ánh tư tưởng của Khổng Tử một cách tương đối tập trung.
C_674968,Văn hóa Bashu,Văn hóa Bashu là một bông hoa rực rỡ nở rộ ở phía tây nam của nền văn minh Trung Quốc. Khóa học này sẽ đưa bạn vào một thế giới văn hóa Bashu đầy màu sắc từ các khía cạnh của khảo cổ học
C_674971,Đá quý và Ngọc đánh giá cao,Đá quý chất lượng quốc gia không chỉ là bản chất của vẻ đẹp tự nhiên
C_676635,Lập kế hoạch nghề nghiệp sinh viên đại học,Nhóm giảng dạy đã điều chỉnh một khóa học để nuôi dưỡng các kỹ năng nghề nghiệp cho các sinh viên đại học sắp tham gia vào xã hội với các phương pháp giảng dạy đơn giản
C_676637,Phân tích tài chính và ra quyết định,Khóa học này sử dụng ngôn ngữ tài chính để giải mã quá trình tạo giá trị của một công ty
C_676641,Máy tính đại học,Khóa học máy tính của trường đại học sẽ được hướng dẫn bằng cách tính toán tư duy
C_676642,Hướng dẫn khởi nghiệp,"Khóa học về thành lập doanh nghiệp mới được phối hợp tổ chức bởi Công viên Khoa học và Công nghệ Thanh Hoa và Trường Kinh tế và Quản lý Đại học Thanh Hoa. Đây là một trong những khóa học mở trực tuyến chất lượng cao đầu tiên trong nước; nó đã được trao giải ""Bài học tuyệt vời"" về Giáo dục Đổi mới và Khởi nghiệp tại các Trường Cao đẳng và Đại học Quốc gia năm 2017 (Khóa học Mở Video)"
C_676643,Tâm lý đổi mới và khởi nghiệp,Doanh nhân không thể tách rời khỏi sự đổi mới. Làm thế nào để duy trì sự sáng tạo? Làm thế nào để đối mặt với những thách thức khác nhau? Làm thế nào để đối mặt với những khó khăn khi bắt đầu kinh doanh với chín thua và một chiến thắng? Giáo sư Peng Kaiping từ Đại học Tsinghua tiêm năng lượng tâm lý tích cực vào bạn!
C_676645,An toàn và bảo vệ sinh viên đại học,Một trong những khóa học công cộng cần thiết cho sinh viên đại học để thành thạo kiến ​​thức an toàn cần thiết
C_676646,Quỹ Doanh nhân,Nền tảng của doanh nhân là một khóa học giáo dục kinh doanh được phát triển đặc biệt để nuôi dưỡng nhận thức về kinh doanh của sinh viên
C_676648,Doanh nhân 101: Khách hàng của bạn là ai?,Trong hành trình kinh doanh của bạn
C_676649,Khổng giáo tự nuôi dưỡng,"Nho giáo giúp người Trung Quốc phát triển lý trí sớm, định hình phong cách cảm xúc và chữa lành nỗi đau tinh thần của chúng ta. Nho giáo là tri thức chân chính, cũng như ba ba thành chín, tu thân là nền tảng."
C_676651,Doanh nhân 102: Bạn có thể làm gì cho khách hàng của mình?,Bạn có thể làm gì cho khách hàng của mình?
C_676653,Bước đầu tiên để thành công trong tinh thần kinh doanh: Viết một kế hoạch kinh doanh tốt,Viết một kế hoạch kinh doanh tốt sẽ không chỉ giúp các doanh nhân có được nhiều nguồn lực hơn mà còn cho phép các doanh nhân xóa các ý tưởng phát triển ban đầu của công ty và đặt nền tảng vững chắc cho việc cất cánh nhanh chóng sự nghiệp của họ!
C_676654,Giáo dục sức khỏe tâm thần cho sinh viên đại học,"Khóa học này tuân thủ ý tưởng ""điều trị trước khi điều trị"" và phổ biến kiến ​​thức sức khỏe tâm thần cho sinh viên đại học. Khóa học này sẽ cho bạn biết: các bệnh tâm lý không đáng sợ và có thể được ngăn chặn và chữa khỏi; Sức khỏe tâm thần có thể giúp sức khỏe và theo dõi hạnh phúc"
C_676656,Bắt đầu kinh doanh,Các bài giảng của doanh nhân
C_676657,Thất bại về kinh doanh: Lý do và cách thức,Thường có luật tương tự cho thất bại trong tinh thần kinh doanh. Hiểu các luật này bằng cách phân tích các trường hợp thất bại cổ điển trong tinh thần kinh doanh
C_676658,Tổng quan về tinh thần của Đại hội Quốc gia lần thứ 19 của Đảng Cộng sản Trung Quốc,Khóa học này là một khóa học hỗ trợ cho khóa học mở trực tuyến chất lượng cao quốc gia
C_676659,Quá trình thẩm mỹ,Khóa học này là lần đầu tiên sử dụng nghệ thuật như một người vận chuyển và chủ nghĩa duy vật lịch sử như một hướng dẫn để tiết lộ đầy đủ rằng sự phát triển của nền văn minh loài người là một quá trình từ bỏ liên tục các hình thức xã hội cũ từ các hình thức xã hội mới. Đây là một biểu hiện lịch sử cực kỳ quan trọng trong quá trình thẩm mỹ. Trong việc giải thích và chỉ trích các khái niệm lịch sử duy vật về sự hình thành
C_676660,Khóa học trường hợp thực hành khởi nghiệp,Khóa học này đưa bạn vào JD Huawei thực sự. Cựu chủ tịch điều hành của Đại học JD
C_676661,Sáng tạo,Đội ngũ các nhà tâm lý học
C_676662,Nghệ thuật sống và thời trang: Quần áo Trung Quốc trong 7.000 năm,"Khóa học sách giáo khoa tốt quốc gia được chọn là khóa học tốt quốc gia ""Lịch sử quần áo Trung Quốc"""
C_676663,Sinh học phân tử,Dạy nó câu cá
C_676664,Người vận chuyển máy bay điện chính và máy bay dựa trên tàu sân bay,Khóa học này sẽ đưa bạn vào thế giới của các tàu sân bay và máy bay chính dựa trên các cường quốc
C_676665,Sự trỗi dậy và sụp đổ của triều đại nhà tang,Lịch sử của Sui
C_676670,Viết tiếng Anh nâng cao,Khóa học này có thể giúp sinh viên thành thạo các phương pháp viết và kỹ thuật của các bài tiểu luận và bài luận tiểu luận ngắn tiếng Anh
C_676671,Đại học Trung Quốc - Phân tích của Triều đại phương Bắc đến Văn học hiện đại,Khóa học này áp dụng việc lập kế hoạch và kích hoạt kiến ​​thức cũ
C_676673,Đạo đức kỹ thuật,Đạo đức kỹ thuật chủ yếu dạy các vấn đề đạo đức chuyên nghiệp trong kỹ thuật
C_676674,Kỹ thuật đạo đức chuyên nghiệp,Kỹ thuật đạo đức chuyên nghiệp chủ yếu dạy các vấn đề đạo đức nghề nghiệp trong kỹ thuật
C_676676,Tâm lý giao tiếp,"Một lớp tâm lý ""lưu trữ"" với một quan điểm độc đáo"
C_676678,Tâm Lý Tích Cực (Phần 1) Đức hạnh và đức hạnh,"Khóa học này là một cái nhìn tổng quan về những điều cơ bản của tâm lý học tích cực. Nó được thiết kế để cho phép sinh viên hiểu một cách khoa học và có hệ thống phạm vi nghiên cứu của tâm lý học tích cực, bao gồm hạnh phúc, đức hạnh, tâm lý xã hội, hành vi, hạnh phúc, dòng chảy, giá trị và ý nghĩa cuộc sống, ứng dụng tâm lý học tích cực, v.v."
C_676681,Hôn nhân và tình yêu tính cách nơi làm việc,Con đường khó khăn nhất trên thế giới là con đường với chính mình. Khóa học này kết hợp tính cách
C_676682,Vật lý vật lý nghệ thuật tự do trong cuộc sống,Bạn sẽ không hiểu bí ẩn của thế giới xung quanh bạn
C_676683,Tâm lý học tích cực (Phần 2) Tự cải thiện,"Khóa học này là một cái nhìn tổng quan về những điều cơ bản của tâm lý học tích cực. Nó được thiết kế để cho phép sinh viên hiểu một cách khoa học và có hệ thống phạm vi nghiên cứu của tâm lý học tích cực, bao gồm hạnh phúc, đức hạnh, tâm lý xã hội, hành vi, hạnh phúc, dòng chảy, giá trị và ý nghĩa cuộc sống, ứng dụng tâm lý học tích cực, v.v."
C_676684,Kiến thức an toàn trong phòng thí nghiệm y sinh,Thông qua một số lượng lớn các tài liệu video và các trường hợp thực tế
C_676685,Giới thiệu và đánh giá cao cổ điển,"Khóa học lấy ""sự đánh giá cao về thẩm mỹ và trao đổi"" làm cốt lõi của nó"
C_676686,Kinh điển và suy nghĩ cuộc gặp gỡ trực tiếp giữa các bậc thầy về nhân văn Tsinghua,Tsinghua Mooc
C_676687,Giành được Internet di động: Khóa học mô hình kinh doanh cho doanh nhân,Làm thế nào để hiểu mô hình kinh doanh trong kỷ nguyên Internet di động? Làm thế nào để sử dụng Internet di động để thực hiện đổi mới đột phá? Làm thế nào để nắm bắt các cơ hội trong tương lai? Khóa học này giúp bạn tìm hiểu một cách có hệ thống về sự đổi mới và tăng trưởng trong kỷ nguyên Internet di động
C_676692,Kiểm tra đế quốc và văn hóa Trung Quốc,Hệ thống kiểm tra đế quốc chất lượng cao quốc gia và văn hóa kiểm tra đế quốc là những thành phần quan trọng của văn hóa Trung Quốc
C_676695,Đạo đức nghiên cứu khoa học và chuẩn mực học thuật,"Tất cả các sinh viên tốt nghiệp phải trau dồi ""nhận thức về điểm mấu chốt"" trong nghiên cứu khoa học và nghiên cứu học thuật"
C_676696,Hiểu Marx,Khóa học sách giáo khoa chất lượng quốc gia tập trung vào việc kích thích lợi ích nhận thức của người học
C_676697,Nghệ thuật chiến tranh của Sun Tzu,Khóa học này dựa trên năm mô -đun chính
C_676700,Các nguyên tắc cơ bản của chủ nghĩa Mác,Chủ nghĩa Marx bị quỷ ám? Chủ nghĩa Mác được thần thánh? ---- Bạn biết bao nhiêu? !! Khóa học này sẽ khôi phục chủ nghĩa Mác thực sự cho bạn-không chỉ là một niềm tin
C_676701,Lãnh đạo toàn cầu của McKinsey,Thông qua các cuộc thảo luận về các chủ đề cốt lõi như tổ chức chiến lược Hoạt động đầu tư tài chính và thách thức kỹ thuật số
C_676705,Luật dân sự và cuộc sống,Khóa học này là một khóa học pháp lý cho sinh viên và người dân trong xã hội đang học bất hợp pháp
C_676707,Sinh thái học trong quan điểm nhân văn,Sinh thái học và nhân văn dường như là cả văn học và khoa học
C_676820,Lịch sử nghệ thuật và thủ công nước ngoài,Khóa học sách giáo khoa cao cấp quốc gia là lịch sử nghệ thuật và thủ công cho khóa học chất lượng nhân văn cốt lõi tại Đại học Tsinghua. Đó là một hồ sơ hình ảnh về sự phát triển
C_676885,Hướng dẫn về giáo dục âm nhạc và hoạt động của trẻ em,Khóa học này được thiết kế cho học sinh giáo dục mầm non hoặc những người có ý định tham gia vào các nhà giáo dục mầm non trong tương lai. Nó hướng dẫn học sinh có được kiến ​​thức và khả năng lập kế hoạch và thực hiện việc thực hiện giáo dục và hoạt động âm nhạc của trẻ em
C_676887,Quản lý đổi mới công nghệ,Làm thế nào mà Google
C_676890,Sự cố ô nhiễm môi trường và ứng phó khẩn cấp,Khóa học áp dụng giảng dạy trường hợp và giảng dạy dựa trên thảo luận. Đầu tiên
C_676895,Âm nhạc và văn hóa của Anh và Mỹ,Nếu bạn thích nghe nhạc
C_676897,Nghi thức hiện đại và tu luyện,Nghi thức hiện đại và tu luyện Có tám chương trong khóa học
C_676898,Vật lý và tương lai của nhân loại,"Chúng ta đang sống trong thời đại khoa học và công nghệ. Chúng tôi sẽ đánh giá cao những phát triển mang tính cách mạng do khoa học mang lại trong các lĩnh vực tài sản, y học, trí tuệ nhân tạo, công nghệ nano, năng lượng mới và hàng không vũ trụ. Ai sẽ là người thắng và kẻ thua trong tương lai? Khóa học này trình bày một góc nhìn rộng rãi về vật lý cổ điển và hiện đại thông qua các hình ảnh vật lý cụ thể hơn là các phương pháp toán học. Khóa học này trình bày vật lý cổ điển và hiện đại."
C_676900,Thơ và quang học đẹp như tranh vẽ,"Khóa học này bao gồm tất cả nội dung của quang học trong vật lý đại học, bao gồm ba phần chính của quang học hình học, quang học sóng và lý thuyết lượng tử ánh sáng. Những người chưa học mô-đun quang học ở trường trung học cơ sở cũng có thể hoàn thành toàn bộ quá trình từ đầu vào đến nâng cao tại đây. Ngoài ra, khóa học này còn cố gắng loại bỏ thói quen học tập xấu là học các môn vật lý dựa trên các bài kiểm tra. Nó xuyên suốt lịch sử khoa học trong khóa học và cố gắng kể lại khóa học quang học bằng màu sắc nhân văn."
C_676902,Kinh điển tư tưởng phương Tây và xã hội hiện đại,Trong thế kỷ 21 ngày nay
C_676905,Sự nghiệp và năng lực kinh doanh,Nhân viên có cùng công việc nền trong cùng một vị trí
C_676907,Đổi mới xã hội và tinh thần kinh doanh,Thông qua nghiên cứu sâu rộng
C_676915,Nghi thức hiện đại,Xã hội hiện đại không thể tách rời khỏi giao tiếp giữa các cá nhân
C_676917,Ngữ pháp tiếng Anh và phong cách viết,Trong khóa học này
C_676918,Một lịch sử ngắn gọn về đổi mới công nghệ,Khóa học này cho biết các quy luật về đổi mới công nghệ trong Cách mạng công nghiệp kể từ thế kỷ 18 và những thay đổi công nghệ trong các lĩnh vực quan trọng
C_676923,Hướng dẫn toàn diện tiếng Anh học thuật,Khóa học này có thể giúp những người có nhu cầu tiếng Anh học thuật
C_676932,Giới thiệu về Tâm lý học,Khóa học này là một phần giới thiệu về khóa học tâm lý học cơ bản
C_676934,Sức mạnh của thiết kế,Khóa học này chủ yếu lấy lịch sử thiết kế của con người
